program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l205_merged.fq.gz,1000000,205,999928,953594,46406,0.122,0:742497 1:186108 2:22856 3:2007 4:117 5:9
bbmerge,gen_n1000000_l206_merged.fq.gz,1000000,206,999916,950682,49318,0.123,0:738080 1:187006 2:23499 3:1963 4:127 5:7
bbmerge,gen_n1000000_l207_merged.fq.gz,1000000,207,999919,949818,50182,0.124,0:734621 1:189034 2:24030 3:2007 4:122 5:4
bbmerge,gen_n1000000_l208_merged.fq.gz,1000000,208,999930,948699,51301,0.125,0:731291 1:190349 2:24869 3:2055 4:130 5:5
bbmerge,gen_n1000000_l209_merged.fq.gz,1000000,209,999908,947209,52791,0.126,0:728042 1:191882 2:24999 3:2139 4:140 5:7
bbmerge,gen_n1000000_l20_merged.fq.gz,1000000,20,999932,923737,76263,0.002,0:923427 1:310
bbmerge,gen_n1000000_l210_merged.fq.gz,1000000,210,999925,946428,53572,0.128,0:723866 1:194264 2:25843 3:2295 4:155 5:5
bbmerge,gen_n1000000_l211_merged.fq.gz,1000000,211,999920,946397,53603,0.128,0:721339 1:196272 2:26249 3:2369 4:153 5:15
bbmerge,gen_n1000000_l212_merged.fq.gz,1000000,212,999932,945059,54941,0.129,0:718240 1:197303 2:26913 3:2418 4:177 5:8
bbmerge,gen_n1000000_l213_merged.fq.gz,1000000,213,999908,943497,56503,0.131,0:713774 1:199609 2:27332 3:2599 4:170 5:10 6:3
bbmerge,gen_n1000000_l214_merged.fq.gz,1000000,214,999942,942174,57826,0.132,0:710527 1:200797 2:28017 3:2665 4:154 5:13 6:1
bbmerge,gen_n1000000_l215_merged.fq.gz,1000000,215,999920,938933,61067,0.133,0:705768 1:201878 2:28455 3:2621 4:202 5:9
bbmerge,gen_n1000000_l216_merged.fq.gz,1000000,216,999909,940504,59496,0.134,0:704596 1:203452 2:29394 3:2839 4:210 5:13
bbmerge,gen_n1000000_l217_merged.fq.gz,1000000,217,999912,937355,62645,0.135,0:699214 1:205096 2:29943 3:2879 4:205 5:18
bbmerge,gen_n1000000_l218_merged.fq.gz,1000000,218,999913,935139,64861,0.136,0:694886 1:206303 2:30744 3:2959 4:227 5:20
bbmerge,gen_n1000000_l219_merged.fq.gz,1000000,219,999920,933179,66821,0.138,0:689850 1:208826 2:31219 3:3072 4:199 5:12 6:1
bbmerge,gen_n1000000_l21_merged.fq.gz,1000000,21,999931,924411,75589,0.002,0:924032 1:379
bbmerge,gen_n1000000_l220_merged.fq.gz,1000000,220,999915,931425,68575,0.138,0:687066 1:209217 2:31895 3:3017 4:216 5:12 6:2
bbmerge,gen_n1000000_l221_merged.fq.gz,1000000,221,999934,924686,75314,0.139,0:679496 1:209694 2:32049 3:3182 4:255 5:10
bbmerge,gen_n1000000_l222_merged.fq.gz,1000000,222,999919,923238,76762,0.14,0:675972 1:210726 2:32992 3:3266 4:267 5:15
