program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l188_merged.fq.gz,1000000,188,999937,974448,25552,0.105,0:799571 1:158327 2:15469 3:1028 4:51 5:2
bbmerge,gen_n1000000_l189_merged.fq.gz,1000000,189,999926,973706,26294,0.106,0:796231 1:160428 2:15889 3:1100 4:57 5:1
bbmerge,gen_n1000000_l18_merged.fq.gz,1000000,18,999896,3,999997,1235.185,222:2 223:1
bbmerge,gen_n1000000_l190_merged.fq.gz,1000000,190,999921,974246,25754,0.107,0:794158 1:162475 2:16451 3:1080 4:77 5:5
bbmerge,gen_n1000000_l191_merged.fq.gz,1000000,191,999912,973852,26148,0.108,0:791788 1:163876 2:17029 3:1102 4:56 5:1
bbmerge,gen_n1000000_l192_merged.fq.gz,1000000,192,999918,972724,27276,0.109,0:788436 1:165920 2:17102 3:1187 4:79
bbmerge,gen_n1000000_l193_merged.fq.gz,1000000,193,999912,972153,27847,0.11,0:785993 1:167096 2:17656 3:1345 4:59 5:4
bbmerge,gen_n1000000_l194_merged.fq.gz,1000000,194,999921,970820,29180,0.111,0:781800 1:169597 2:18107 3:1248 4:68
bbmerge,gen_n1000000_l195_merged.fq.gz,1000000,195,999926,971264,28736,0.112,0:780931 1:170428 2:18484 3:1356 4:62 5:2 6:1
bbmerge,gen_n1000000_l196_merged.fq.gz,1000000,196,999915,971238,28762,0.113,0:778163 1:172641 2:18977 3:1372 4:82 5:3
bbmerge,gen_n1000000_l197_merged.fq.gz,1000000,197,999922,970304,29696,0.114,0:774953 1:174516 2:19349 3:1410 4:73 5:3
bbmerge,gen_n1000000_l198_merged.fq.gz,1000000,198,999926,968614,31386,0.115,0:771248 1:175752 2:20039 3:1489 4:79 5:6 6:1
bbmerge,gen_n1000000_l199_merged.fq.gz,1000000,199,999916,967861,32139,0.116,0:768074 1:177913 2:20245 3:1528 4:97 5:4
